1,1,88,99,61.08,218.56,1,4.4852,5.5016,0
1,2,181,95,75.808,227.01,1,4.4091,4.4283,0
1,3,184,96,35.446,154.5,1,12.621,10.628,0
1,4,357,82,72.924,246.18,1,4.3869,2.7804,0
1,5,458,89,64.796,236.59,1,4.7801,2.1475,0
1,6,513,111,36.501,122.15,1,16.592,8.209,0
1,7,576,84,61.632,195.56,1,9.2619,3.381,0
2,1,84,99,61.08,218.56,1,4.4717,5.5332,0
2,2,184,95,75.63,226.62,1,4.4935,4.4599,0
2,3,184,96,35.532,154.5,1,12.621,10.628,0
2,4,360,82,72.831,245.79,1,4.4652,2.802,0
2,5,460,89,64.89,236.19,1,4.7833,2.1314,0
2,6,512,111,36.48,122.15,1,16.59,8.2237,0
2,7,574,84,61.596,195.37,1,9.2594,3.4022,0
3,1,80,100,61.08,218.56,1,4.3797,5.5027,0
3,2,188,95,75.412,226.14,1,4.5047,4.4288,0
3,3,184,96,35.636,154.51,1,12.621,10.628,0
3,4,362,82,72.718,245.31,1,4.4692,2.7865,0
3,5,462,89,65.005,235.71,1,4.861,2.1575,0
3,6,511,111,36.453,122.14,1,16.589,8.2383,0
3,7,572,84,61.552,195.14,1,9.257,3.4233,0
4,1,75,100,61.08,218.56,1,4.3626,5.542,0
4,2,192,95,75.173,225.62,1,4.5926,4.4526,0
4,3,184,96,35.751,154.52,1,12.621,10.628,0
4,4,365,82,72.593,244.78,1,4.5481,2.8082,0
4,5,465,89,65.131,235.18,1,4.8657,2.1333,0
4,6,510,111,36.425,122.13,1,16.588,8.2529,0
4,7,569,84,61.504,194.89,1,9.3727,3.5155,0
